Basic Block ID,Execution Count,Total Time (ticks),Average Time (ticks),Instruction Count,CPI
main#for.inc13,100,60163000,601630.00,0,0.00
main#for.end20,1,515169000,515169000.00,0,0.00
main#for.body5,10,7191000,719100.00,0,0.00
main#for.end15,10,5380000,538000.00,0,0.00
main#for.cond8,110,54343000,494027.27,0,0.00
main#for.cond3,11,7048000,640727.27,0,0.00
main#for.end,1,282000,282000.00,0,0.00
main#for.body10,100,80601000,806010.00,0,0.00
main#for.cond,11,6215000,565000.00,0,0.00
main#entry,1,150823000,150823000.00,0,0.00
main#for.inc,10,5651000,565100.00,0,0.00
main#for.body,12,111313803000,9276150250.00,0,0.00
main#for.inc18,12,32500957000,2708413083.33,0,0.00
